names,numbers
Assassin's Trophy,0.0044444444444444444
Sylvan Library,0.006296296296296296
Carpet of Flowers,0.04925925925925926
Collector Ouphe,0.011111111111111112
Flusterstorm,0.05074074074074074
Leyline of the Void,0.0077777777777777776
Plague Engineer,0.04814814814814815
Veil of Summer,0.056666666666666664
"Liliana, the Last Hope",0.006296296296296296
"Narset, Parter of Veils",0.00962962962962963
Bojuka Bog,0.005925925925925926
Crop Rotation,0.011481481481481481
Karakas,0.0033333333333333335
Nihil Spellbomb,0.011111111111111112
Surgical Extraction,0.09666666666666666
Back to Basics,0.03259259259259259
Containment Priest,0.020370370370370372
Engineered Explosives,0.025925925925925925
Ethersworn Canonist,0.02185185185185185
Hullbreacher,0.011111111111111112
Relic of Progenitus,0.02962962962962963
Wilt,0.02148148148148148
Agent of Treachery,0.00037037037037037035
Force of Vigor,0.005925925925925926
Ipnu Rivulet,0.0014814814814814814
Pyroblast,0.061481481481481484
Pyroclasm,0.008518518518518519
The Tabernacle at Pendrell Vale,0.003703703703703704
From the Ashes,0.006296296296296296
Izzet Staticaster,0.0033333333333333335
Mountain,0.0022222222222222222
Red Elemental Blast,0.022962962962962963
Wear // Tear,0.006296296296296296
Blood Moon,0.011851851851851851
Force of Negation,0.008888888888888889
Liliana's Triumph,0.005555555555555556
Blue Elemental Blast,0.004074074074074074
Golgari Charm,0.00037037037037037035
Grafdigger's Cage,0.0044444444444444444
Life from the Loam,0.002962962962962963
Null Rod,0.00962962962962963
Opposition Agent,0.001851851851851852
Monastery Mentor,0.011481481481481481
Terminus,0.002962962962962963
Rest in Peace,0.01962962962962963
Dismember,0.0007407407407407407
Hydroblast,0.009259259259259259
Snow-Covered Forest,0.0011111111111111111
Council's Judgment,0.0007407407407407407
Disenchant,0.01814814814814815
"Gideon, Ally of Zendikar",0.0011111111111111111
"Ashiok, Dream Render",0.0022222222222222222
Pithing Needle,0.005555555555555556
Run Afoul,0.0025925925925925925
"Leovold, Emissary of Trest",0.004814814814814815
Wasteland,0.0011111111111111111
Stony Silence,0.0025925925925925925
Torpor Orb,0.003703703703703704
Thoughtseize,0.012222222222222223
Dead of Winter,0.0014814814814814814
"Tasigur, the Golden Fang",0.0007407407407407407
Dread of Night,0.0022222222222222222
Fatal Push,0.005925925925925926
Reclamation Sage,0.0033333333333333335
Vendilion Clique,0.005185185185185185
Tyrant's Scorn,0.001851851851851852
Hymn to Tourach,0.0044444444444444444
Notion Thief,0.0014814814814814814
Toxic Deluge,0.0022222222222222222
Cling to Dust,0.0011111111111111111
Gaddock Teeg,0.0007407407407407407
"Yorion, Sky Nomad",0.003703703703703704
Court of Grace,0.0014814814814814814
Knight of Autumn,0.0007407407407407407
Meddling Mage,0.03185185185185185
Soul-Guide Lantern,0.004074074074074074
Return to Nature,0.007037037037037037
Kolaghan's Command,0.0014814814814814814
Nature's Chant,0.00037037037037037035
Elder Gargaroth,0.00037037037037037035
Counterbalance,0.0022222222222222222
Feed the Swarm,0.0011111111111111111
Marsh Casualties,0.00037037037037037035
Murderous Rider,0.00037037037037037035
Vampire Hexmage,0.00037037037037037035
Abrade,0.008148148148148147
Ancient Grudge,0.001851851851851852
"Klothys, God of Destiny",0.004074074074074074
Submerge,0.006666666666666667
Murderous Cut,0.00037037037037037035
Choke,0.0022222222222222222
Trinisphere,0.001851851851851852
"Vivien, Monsters' Advocate",0.0007407407407407407
Scavenging Ooze,0.003703703703703704
Abrupt Decay,0.0011111111111111111
Path to Exile,0.005185185185185185
Extract,0.0007407407407407407
Kozilek's Return,0.0014814814814814814
Damping Sphere,0.0011111111111111111
Palace Jailer,0.0014814814814814814
Pernicious Deed,0.0011111111111111111
Mindbreak Trap,0.0011111111111111111
Tormod's Crypt,0.0011111111111111111
Brazen Borrower,0.002962962962962963
Dimir Cutpurse,0.00037037037037037035
Ensnaring Bridge,0.00037037037037037035
Phyrexian Revoker,0.00037037037037037035
Trygon Predator,0.00037037037037037035
Cleansing Wildfire,0.0025925925925925925
"Lavinia, Azorius Renegade",0.0007407407407407407
Volcanic Island,0.0022222222222222222
Celestial Purge,0.0025925925925925925
Blazing Volley,0.0022222222222222222
Animate Dead,0.0011111111111111111
Darkblast,0.0014814814814814814
"Elesh Norn, Grand Cenobite",0.0011111111111111111
Torment of Hailfire,0.0014814814814814814
Young Pyromancer,0.002962962962962963
Mystical Dispute,0.0011111111111111111
Crush the Weak,0.001851851851851852
Deafening Silence,0.0022222222222222222
Inquisition of Kozilek,0.00037037037037037035
Leyline of Sanctity,0.0014814814814814814
Sevinne's Reclamation,0.0022222222222222222
Maelstrom Pulse,0.0007407407407407407
Magus of the Moon,0.0007407407407407407
"Vraska, Golgari Queen",0.00037037037037037035
Supreme Verdict,0.0044444444444444444
Eliminate,0.0007407407407407407
Engineered Plague,0.00037037037037037035
Hall of Heliod's Generosity,0.00037037037037037035
Seal of Cleansing,0.0007407407407407407
Massacre,0.00037037037037037035
Sower of Temptation,0.00037037037037037035
"Jace, the Mind Sculptor",0.0007407407407407407
Snow-Covered Mountain,0.00037037037037037035
