names,numbers
Hullbreacher,0.004902405810258738
Spellstutter Sprite,0.00036314117113027687
"Uro, Titan of Nature's Wrath",0.029959146618247844
Life from the Loam,0.004720835224693599
Ponder,0.05982750794371312
Abrupt Decay,0.009895596913300045
Assassin's Trophy,0.004266908760780753
Brainstorm,0.06536541080344985
Daze,0.009804811620517476
Fatal Push,0.008715388107126645
Force of Will,0.06436677258284158
Stifle,0.005083976395823877
Bitterblossom,0.00036314117113027687
Sylvan Library,0.013799364502950521
Flooded Strand,0.038402178847026784
Polluted Delta,0.02805265546981389
Tropical Island,0.019518837948252384
Underground Sea,0.015524285065819337
Wasteland,0.015978211529732184
"Jace, the Mind Sculptor",0.019518837948252384
"Liliana, the Last Hope",0.002451202905129369
"Narset, Parter of Veils",0.009714026327734908
Baleful Strix,0.018066273263731277
Scavenging Ooze,0.0021788470267816613
Snapcaster Mage,0.020335905583295507
Hymn to Tourach,0.00581025873808443
Thoughtseize,0.007898320472083522
Toxic Deluge,0.0010894235133908307
Cling to Dust,0.0029959146618247843
Force of Negation,0.026055379028597368
Bayou,0.004539264639128461
Forest,0.0035406264185201997
Island,0.020517476168860644
Misty Rainforest,0.040671811166591014
Swamp,0.004448479346345892
Verdant Catacombs,0.007989105764866092
"Teferi, Time Raveler",0.014707217430776215
Ice-Fang Coatl,0.014616432137993645
Council's Judgment,0.0040853381752156154
Terminus,0.012437585111211983
Swords to Plowshares,0.03740354062641852
Carpet of Flowers,0.002451202905129369
Shark Typhoon,0.0039037675896504767
Mystic Sanctuary,0.008533817521561507
Scalding Tarn,0.017975487970948705
Snow-Covered Forest,0.011983658647299137
Snow-Covered Island,0.024058102587380843
Snow-Covered Plains,0.005991829323649569
Tundra,0.015161143894689061
"Tamiyo, Collector of Tales",0.0007262823422605537
"Omnath, Locus of Creation",0.0014525646845211075
Primeval Titan,0.0017249205628688152
Growth Spiral,0.002088061733999092
Nexus of Fate,0.00027235587834770767
Field of the Dead,0.0029959146618247843
Karakas,0.004630049931911031
Ketria Triome,0.0009986382206082615
Prismatic Vista,0.010077167498865183
Volcanic Island,0.011802088061733999
Monastery Mentor,0.004630049931911031
Preordain,0.005628688152519292
Sevinne's Reclamation,0.0009078529278256923
Counterspell,0.0039037675896504767
Predict,0.004539264639128461
Engineered Explosives,0.0012709940989559692
Mishra's Bauble,0.004266908760780753
Plains,0.006173399909214707
Brazen Borrower,0.004630049931911031
"Kroxa, Titan of Death's Hunger",0.000817067635043123
Plague Engineer,0.002814344076259646
Inquisition of Kozilek,0.0022696323195642307
Kolaghan's Command,0.0033590558329550614
Lightning Bolt,0.009623241034952337
Badlands,0.002905129369042215
Bloodstained Mire,0.003268270540172492
Mountain,0.0010894235133908307
"Leovold, Emissary of Trest",0.004357694053563323
Tarmogoyf,0.004176123467998184
True-Name Nemesis,0.004630049931911031
Spell Pierce,0.004811620517476169
"Teferi, Hero of Dominaria",0.0009078529278256923
Entreat the Angels,0.0011802088061733998
Spell Snare,0.0015433499773036769
Archmage's Charm,0.00036314117113027687
Felidar Retreat,9.078529278256922e-05
Dark Confidant,0.0009078529278256923
Delver of Secrets,0.004357694053563323
Stoneforge Mystic,0.006627326373127553
Batterskull,0.0017249205628688152
Sword of Fire and Ice,0.0005447117566954153
Umezawa's Jitte,0.001634135270086246
Snow-Covered Mountain,0.001634135270086246
Hexdrinker,0.0006354970494779846
Noble Hierarch,0.005447117566954153
Green Sun's Zenith,0.004266908760780753
Dryad Arbor,0.0010894235133908307
Unexpectedly Absent,0.000817067635043123
Abundant Growth,0.0034498411257376303
Supreme Verdict,0.0010894235133908307
Court of Grace,0.00018157058556513844
Moat,0.00045392646391284613
Standstill,0.0010894235133908307
Hall of Heliod's Generosity,0.00018157058556513844
Drown in the Loch,0.0031774852473899226
Court of Cunning,0.001997276441216523
Snow-Covered Swamp,0.0027235587834770767
Meren of Clan Nel Toth,0.00027235587834770767
Questing Beast,0.0006354970494779846
Ramunap Excavator,0.0007262823422605537
Tireless Tracker,0.0007262823422605537
Waterlogged Grove,0.0005447117566954153
Coiling Oracle,9.078529278256922e-05
"Cosima, God of the Voyage",0.00018157058556513844
Dryad of the Ilysian Grove,0.00018157058556513844
Elvish Reclaimer,0.0009078529278256923
"Esika, God of the Tree",0.00018157058556513844
"Golos, Tireless Pilgrim",0.00027235587834770767
"Keranos, God of Storms",0.00018157058556513844
"Klothys, God of Destiny",0.00027235587834770767
Knight of the Reliquary,0.00027235587834770767
Scute Swarm,0.00018157058556513844
